Year,Province,"Income, consumption and savings",UOM, VALUE 
2015,Prince Edward Island,Clothing and footwear,Dollars,2792
2016,Prince Edward Island,Clothing and footwear,Dollars,2735
2017,Prince Edward Island,Clothing and footwear,Dollars,2560
2018,Prince Edward Island,Clothing and footwear,Dollars,3368
2019,Prince Edward Island,Clothing and footwear,Dollars,3395
2020,Prince Edward Island,Clothing and footwear,Dollars,2739
2010,Prince Edward Island,"Housing, water, electricity, gas and other fuels",Dollars,16380
2011,Prince Edward Island,"Housing, water, electricity, gas and other fuels",Dollars,16044
2012,Prince Edward Island,"Housing, water, electricity, gas and other fuels",Dollars,16363
2013,Prince Edward Island,"Housing, water, electricity, gas and other fuels",Dollars,16573
2014,Prince Edward Island,"Housing, water, electricity, gas and other fuels",Dollars,16588
2015,Prince Edward Island,"Housing, water, electricity, gas and other fuels",Dollars,16304
2016,Prince Edward Island,"Housing, water, electricity, gas and other fuels",Dollars,15741
2017,Prince Edward Island,"Housing, water, electricity, gas and other fuels",Dollars,15505
2018,Prince Edward Island,"Housing, water, electricity, gas and other fuels",Dollars,14801
2019,Prince Edward Island,"Housing, water, electricity, gas and other fuels",Dollars,15330
2020,Prince Edward Island,"Housing, water, electricity, gas and other fuels",Dollars,16059
2010,Prince Edward Island,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3405
2011,Prince Edward Island,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3335
2012,Prince Edward Island,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3497
2013,Prince Edward Island,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3456
2014,Prince Edward Island,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3458
2015,Prince Edward Island,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3588
2016,Prince Edward Island,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3667
2017,Prince Edward Island,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3665
2018,Prince Edward Island,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4249
2019,Prince Edward Island,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4345
2020,Prince Edward Island,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4734
2010,Prince Edward Island,Health,Dollars,2675
2011,Prince Edward Island,Health,Dollars,2620
2012,Prince Edward Island,Health,Dollars,2674
2013,Prince Edward Island,Health,Dollars,2737
2014,Prince Edward Island,Health,Dollars,2784
2015,Prince Edward Island,Health,Dollars,2842
2016,Prince Edward Island,Health,Dollars,2810
2017,Prince Edward Island,Health,Dollars,2741
2018,Prince Edward Island,Health,Dollars,2752
2019,Prince Edward Island,Health,Dollars,2794
2020,Prince Edward Island,Health,Dollars,2630
2010,Prince Edward Island,Transport,Dollars,10341
2011,Prince Edward Island,Transport,Dollars,10129
2012,Prince Edward Island,Transport,Dollars,10634
2013,Prince Edward Island,Transport,Dollars,11281
2014,Prince Edward Island,Transport,Dollars,11413
2015,Prince Edward Island,Transport,Dollars,11153
2016,Prince Edward Island,Transport,Dollars,11428
2017,Prince Edward Island,Transport,Dollars,12004
2018,Prince Edward Island,Transport,Dollars,12570
2019,Prince Edward Island,Transport,Dollars,12420
2020,Prince Edward Island,Transport,Dollars,10046
2010,Prince Edward Island,Communications,Dollars,1762
2011,Prince Edward Island,Communications,Dollars,1726
2012,Prince Edward Island,Communications,Dollars,1741
2013,Prince Edward Island,Communications,Dollars,1829
2014,Prince Edward Island,Communications,Dollars,1942
2015,Prince Edward Island,Communications,Dollars,2084
2016,Prince Edward Island,Communications,Dollars,2091
2017,Prince Edward Island,Communications,Dollars,2154
2018,Prince Edward Island,Communications,Dollars,2100
2019,Prince Edward Island,Communications,Dollars,2143
2020,Prince Edward Island,Communications,Dollars,2157
2010,Prince Edward Island,Recreation and culture,Dollars,5162
2011,Prince Edward Island,Recreation and culture,Dollars,5056
2012,Prince Edward Island,Recreation and culture,Dollars,5089
2013,Prince Edward Island,Recreation and culture,Dollars,5105
2014,Prince Edward Island,Recreation and culture,Dollars,5041
2015,Prince Edward Island,Recreation and culture,Dollars,5112
2016,Prince Edward Island,Recreation and culture,Dollars,5102
2017,Prince Edward Island,Recreation and culture,Dollars,5077
2018,Prince Edward Island,Recreation and culture,Dollars,5775
2019,Prince Edward Island,Recreation and culture,Dollars,5790
2020,Prince Edward Island,Recreation and culture,Dollars,5905
2010,Prince Edward Island,Education,Dollars,1029
2011,Prince Edward Island,Education,Dollars,1008
2012,Prince Edward Island,Education,Dollars,1057
2013,Prince Edward Island,Education,Dollars,1180
2014,Prince Edward Island,Education,Dollars,1188
2015,Prince Edward Island,Education,Dollars,1165
2016,Prince Edward Island,Education,Dollars,1144
2017,Prince Edward Island,Education,Dollars,1146
2018,Prince Edward Island,Education,Dollars,1038
2019,Prince Edward Island,Education,Dollars,1075
2020,Prince Edward Island,Education,Dollars,1045
2010,Prince Edward Island,"Food, beverage and accommodation services",Dollars,4150
2011,Prince Edward Island,"Food, beverage and accommodation services",Dollars,4065
2012,Prince Edward Island,"Food, beverage and accommodation services",Dollars,4164
2013,Prince Edward Island,"Food, beverage and accommodation services",Dollars,4271
2014,Prince Edward Island,"Food, beverage and accommodation services",Dollars,4071
2015,Prince Edward Island,"Food, beverage and accommodation services",Dollars,4224
2016,Prince Edward Island,"Food, beverage and accommodation services",Dollars,4230
2017,Prince Edward Island,"Food, beverage and accommodation services",Dollars,5381
2018,Prince Edward Island,"Food, beverage and accommodation services",Dollars,4395
2019,Prince Edward Island,"Food, beverage and accommodation services",Dollars,4492
2020,Prince Edward Island,"Food, beverage and accommodation services",Dollars,3119
2010,Prince Edward Island,Insurance and financial services,Dollars,4586
2011,Prince Edward Island,Insurance and financial services,Dollars,4492
2012,Prince Edward Island,Insurance and financial services,Dollars,4482
2013,Prince Edward Island,Insurance and financial services,Dollars,4707
2014,Prince Edward Island,Insurance and financial services,Dollars,4868
2015,Prince Edward Island,Insurance and financial services,Dollars,5021
2016,Prince Edward Island,Insurance and financial services,Dollars,5004
2017,Prince Edward Island,Insurance and financial services,Dollars,5044
2018,Prince Edward Island,Insurance and financial services,Dollars,4841
2019,Prince Edward Island,Insurance and financial services,Dollars,4919
2020,Prince Edward Island,Insurance and financial services,Dollars,5109
2010,Prince Edward Island,Miscellaneous goods and services,Dollars,3604
2011,Prince Edward Island,Miscellaneous goods and services,Dollars,3530
2012,Prince Edward Island,Miscellaneous goods and services,Dollars,3590
2013,Prince Edward Island,Miscellaneous goods and services,Dollars,3626
2014,Prince Edward Island,Miscellaneous goods and services,Dollars,3587
2015,Prince Edward Island,Miscellaneous goods and services,Dollars,3662
2016,Prince Edward Island,Miscellaneous goods and services,Dollars,3574
2017,Prince Edward Island,Miscellaneous goods and services,Dollars,3577
2018,Prince Edward Island,Miscellaneous goods and services,Dollars,3658
2019,Prince Edward Island,Miscellaneous goods and services,Dollars,3771
2020,Prince Edward Island,Miscellaneous goods and services,Dollars,3538
2010,Prince Edward Island,Social transfers in kind (STiK): education,Dollars,6557
2011,Prince Edward Island,Social transfers in kind (STiK): education,Dollars,6646
2012,Prince Edward Island,Social transfers in kind (STiK): education,Dollars,6689
2013,Prince Edward Island,Social transfers in kind (STiK): education,Dollars,6622
2014,Prince Edward Island,Social transfers in kind (STiK): education,Dollars,6409
2015,Prince Edward Island,Social transfers in kind (STiK): education,Dollars,6410
2016,Prince Edward Island,Social transfers in kind (STiK): education,Dollars,6337
2017,Prince Edward Island,Social transfers in kind (STiK): education,Dollars,6317
2018,Prince Edward Island,Social transfers in kind (STiK): education,Dollars,6337
2019,Prince Edward Island,Social transfers in kind (STiK): education,Dollars,6581
2020,Prince Edward Island,Social transfers in kind (STiK): education,Dollars,6719
2010,Prince Edward Island,Social transfers in kind (STiK): health,Dollars,9311
2011,Prince Edward Island,Social transfers in kind (STiK): health,Dollars,9171
2012,Prince Edward Island,Social transfers in kind (STiK): health,Dollars,9533
2013,Prince Edward Island,Social transfers in kind (STiK): health,Dollars,9955
2014,Prince Edward Island,Social transfers in kind (STiK): health,Dollars,9919
2015,Prince Edward Island,Social transfers in kind (STiK): health,Dollars,10165
2016,Prince Edward Island,Social transfers in kind (STiK): health,Dollars,10206
2017,Prince Edward Island,Social transfers in kind (STiK): health,Dollars,10276
2018,Prince Edward Island,Social transfers in kind (STiK): health,Dollars,9730
2019,Prince Edward Island,Social transfers in kind (STiK): health,Dollars,9824
2020,Prince Edward Island,Social transfers in kind (STiK): health,Dollars,9928
2010,Prince Edward Island,Social transfers in kind (STiK): other,Dollars,3261
2011,Prince Edward Island,Social transfers in kind (STiK): other,Dollars,3273
2012,Prince Edward Island,Social transfers in kind (STiK): other,Dollars,3223
2013,Prince Edward Island,Social transfers in kind (STiK): other,Dollars,3319
2014,Prince Edward Island,Social transfers in kind (STiK): other,Dollars,3100
2015,Prince Edward Island,Social transfers in kind (STiK): other,Dollars,3030
2016,Prince Edward Island,Social transfers in kind (STiK): other,Dollars,3060
2017,Prince Edward Island,Social transfers in kind (STiK): other,Dollars,3164
2018,Prince Edward Island,Social transfers in kind (STiK): other,Dollars,3246
2019,Prince Edward Island,Social transfers in kind (STiK): other,Dollars,3434
2020,Prince Edward Island,Social transfers in kind (STiK): other,Dollars,3205
2010,Nova Scotia,Household disposable income,Dollars," $58,298 "
2011,Nova Scotia,Household disposable income,Dollars," $57,621 "
2012,Nova Scotia,Household disposable income,Dollars," $59,587 "
2013,Nova Scotia,Household disposable income,Dollars," $61,748 "
2014,Nova Scotia,Household disposable income,Dollars," $63,105 "
2015,Nova Scotia,Household disposable income,Dollars," $64,717 "
2016,Nova Scotia,Household disposable income,Dollars," $64,931 "
2017,Nova Scotia,Household disposable income,Dollars," $66,622 "
2018,Nova Scotia,Household disposable income,Dollars," $68,102 "
2019,Nova Scotia,Household disposable income,Dollars," $68,815 "
2020,Nova Scotia,Household disposable income,Dollars," $74,472 "
2010,Nova Scotia,Compensation of employees,Dollars,50338
2011,Nova Scotia,Compensation of employees,Dollars,49753
2012,Nova Scotia,Compensation of employees,Dollars,51127
2013,Nova Scotia,Compensation of employees,Dollars,52968
2014,Nova Scotia,Compensation of employees,Dollars,54176
2015,Nova Scotia,Compensation of employees,Dollars,55084
2016,Nova Scotia,Compensation of employees,Dollars,53998
2017,Nova Scotia,Compensation of employees,Dollars,55088
2018,Nova Scotia,Compensation of employees,Dollars,57167
2019,Nova Scotia,Compensation of employees,Dollars,57550
2020,Nova Scotia,Compensation of employees,Dollars,56936
2010,Nova Scotia,Net mixed income,Dollars,9793
2011,Nova Scotia,Net mixed income,Dollars,9679
2012,Nova Scotia,Net mixed income,Dollars,9998
2013,Nova Scotia,Net mixed income,Dollars,10106
2014,Nova Scotia,Net mixed income,Dollars,10448
2015,Nova Scotia,Net mixed income,Dollars,10753
2016,Nova Scotia,Net mixed income,Dollars,11013
2017,Nova Scotia,Net mixed income,Dollars,11439
2018,Nova Scotia,Net mixed income,Dollars,11708
2019,Nova Scotia,Net mixed income,Dollars,12163
2020,Nova Scotia,Net mixed income,Dollars,12029
2010,Nova Scotia,Property income received,Dollars,10544
